crop_name,N_extraction_kg_ha,P_extraction_kg_ha,K_extraction_kg_ha,Zn_extraction_g_ha,residue_return_%,soil_impact
Soybean,50-60,30-40,40-50,150-200,40,Improves N, loosens soil
Cotton,120-150,50-70,80-100,200-250,30,Deep rooting, depletes N
Sorghum,100-120,50-60,40-50,100-150,50,Drought tolerant, allelopathic
Pigeon_Pea,40-50,30-40,30-40,100-150,60,Fixes N (70-100 kg/ha)
Maize,120-160,60-80,60-80,180-220,40,Heavy feeder, deep roots
Wheat,100-140,50-70,40-60,120-180,30,Depletes N, compacts soil
Chickpea,20-25,40-50,30-40,80-120,50,Fixes N (25-40 kg/ha)
Groundnut,40-50,60-80,40-60,100-150,60,Fixes N, improves structure
Sugarcane,200-250,80-100,300-350,250-300,20,Heavy feeder, exhaustive
Onion,60-80,30-40,80-100,80-100,20,Shallow feeder, pest repellent
Tomato,100-120,50-70,150-200,120-150,30,Heavy feeder, disease prone
Potato,100-120,40-60,150-200,100-120,20,Acidifies soil, pest prone