crop_name,sowing_start_month,sowing_end_month,harvest_start_month,harvest_end_month,growing_days,season,rainfall_required,irrigation_needs
Soybean,Jun,Jul,Sep,Oct,90-110,Kharif,600-800,Low
Cotton,Jun,Jul,Nov,Feb,150-210,Kharif,600-900,Medium
Sorghum,Jun,Jul,Sep,Nov,90-120,Kharif,450-650,Low
Pigeon_Pea,Jun,Jul,Jan,Mar,150-180,Kharif,600-800,Low
Green_Gram,Jun,Jul,Aug,Sep,60-75,Kharif,500-700,Low
Black_Gram,Jun,Jul,Sep,Oct,75-90,Kharif,600-800,Low
Maize,Jun,Jul,Sep,Oct,90-110,Kharif,600-800,Medium
Groundnut,Jun,Jul,Sep,Nov,105-130,Kharif,500-700,Low
Rice,Jun,Jul,Oct,Dec,120-150,Kharif,>1000,High
Sugarcane,Feb,Mar,Dec,Mar,300-365,Annual,1500-2500,High
Wheat,Nov,Dec,Mar,Apr,120-140,Rabi,500-700,High
Chickpea,Oct,Nov,Jan,Mar,110-140,Rabi,350-500,Low
Mustard,Oct,Nov,Feb,Mar,90-120,Rabi,400-600,Low
Sunflower,Jun,Jul,Sep,Oct,90-110,Kharif,600-800,Medium
Onion,Nov,Dec,Mar,Apr,90-150,Rabi,350-550,Medium
Tomato,Nov,Dec,Feb,Apr,90-120,Rabi,600-800,High
Potato,Oct,Nov,Jan,Feb,90-120,Rabi,500-700,High
Grapes,Feb,Mar,Mar,Apr,120-150,Annual,600-800,High
Orange,Jun,Jul,Dec,Feb,240-300,Perennial,700-900,Medium
Banana,Jun,Jul,Year-round,Perennial,>1000,High